0,940013FF,8,0,0,14,0,7C,0,1,0,
1,940010FF,8,0,0,C,0,84,0,0,0,
1,940010FF,8,1,8E,0,92,0,90,0,0,
1,940011FF,8,0,0,2C,0,4,FF,AE,0,
1,940011FF,8,1,2,0,9,0,10,0,0,
1,940011FF,8,2,0,12,4,F0,0,22,0,
1,940011FF,8,4,0,0,0,8A,0,0,0,
1,940011FF,8,5,96,0,0,0,98,0,0,
1,940011FF,5,6,0,9A,0,0,
1,94000600,8,0,9,FF,AE,0,0,0,EC,
1,94000601,8,7F,FF,7F,FF,0,0,0,0,
1,94000602,8,5,14,0,0,0,0,0,0,
1,94000603,8,0,0,0,0,0,0,0,0,
1,94000604,8,0,0,0,0,0,0,0,0,
1,94000605,8,0,0,0,0,0,0,0,0,
1,94000606,8,0,0,0,0,0,0,0,0,
1,94000607,8,0,0,0,0,0,0,0,0,
1,940011FF,8,3,0,0,4E,5,14,0,86,
1,94000608,8,0,0,0,0,0,0,0,0,
1,940012FF,8,0,0,48,0,8,0,EC,2,
1,940012FF,8,1,3E,0,0,2,40,0,0,
1,940012FF,8,2,2,42,0,0,2,44,0,
1,940012FF,8,4,0,0,0,EA,0,0,0,
1,940012FF,8,5,F8,0,0,0,FE,0,0,
1,940012FF,8,6,1,38,0,0,1,3A,0,
1,940012FF,8,9,42,0,0,1,44,0,0,
1,940012FF,5,A,1,46,0,0,
1,940012FF,8,3,0,2,A4,0,0,2,A6,
2,940013FF,8,0,0,14,0,7C,0,1,0,
2,940013FF,8,1,7E,0,0,0,80,0,0,
2,940013FF,8,2,0,82,0,0,2,94,F,
2,940013FF,2,3,A0,
2,940010FF,8,0,0,C,0,84,0,0,0,
2,940010FF,8,1,8E,0,92,0,90,0,0,
2,940011FF,8,0,0,2C,0,4,FF,AE,0,
2,940011FF,8,1,2,0,A,0,10,0,0,
2,940011FF,8,2,0,12,4,F0,0,22,0,
2,940011FF,8,3,0,0,4E,5,14,0,86,
2,940011FF,8,5,96,0,0,0,98,0,0,
2,940011FF,5,6,0,9A,0,0,
2,94000600,8,0,A,FF,AE,0,0,0,EC,
2,94000601,8,7F,FF,7F,FF,0,0,0,0,
2,94000602,8,5,14,0,0,0,0,0,0,
2,94000603,8,0,0,0,0,0,0,0,0,
2,94000604,8,0,0,0,0,0,0,0,0,
2,94000605,8,0,0,0,0,0,0,0,0,
2,94000606,8,0,0,0,0,0,0,0,0,
2,94000607,8,0,0,0,0,0,0,0,0,
2,94000608,8,0,0,0,0,0,0,0,0,
2,940011FF,8,4,0,0,0,8A,0,0,0,
3,940010FF,8,0,0,C,0,84,0,0,0,
3,940010FF,8,1,8E,0,92,0,90,0,0,
3,940012FF,8,0,0,48,0,8,0,EC,2,
3,940012FF,8,1,3E,0,0,2,40,0,0,
3,940012FF,8,2,2,42,0,0,2,44,0,
3,940012FF,8,4,0,0,0,EA,0,0,0,
3,940012FF,8,5,F8,0,0,0,FE,0,0,
3,940012FF,8,6,1,38,0,0,1,3A,0,
3,940012FF,8,9,42,0,0,1,44,0,0,
3,940012FF,5,A,1,46,0,0,
3,940012FF,8,3,0,2,A4,0,0,2,A6,
3,940011FF,8,0,0,2C,0,4,FF,AE,0,
3,940011FF,8,1,2,0,A,0,10,0,0,
3,940011FF,8,2,0,12,4,F0,0,22,0,
3,940011FF,8,4,0,0,0,8A,0,0,0,
3,940011FF,8,5,96,0,0,0,98,0,0,
3,940011FF,5,6,0,9A,0,0,
3,94000600,8,0,A,FF,AE,0,0,0,EC,
3,94000601,8,7F,FF,7F,FF,0,0,0,0,
3,94000602,8,5,14,0,0,0,0,0,0,
